"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","20247","ONEVIEW-775: Verify duplicate addition is prevented visually @regression","chromium","Mon May 18 11:44:26 IST 2026","passed","Mon May 18 11:44:46 IST 2026","Phase-2 > Add Cards > Add Cards - Regression @regression","regressionPhase-2\AddCards.spec.js","",""
"","30442","ONEVIEW-827: Verify Cancel on Restore Preferred confirmation retains current layout @regression","chromium","Mon May 18 11:50:48 IST 2026","passed","Mon May 18 11:51:18 IST 2026","Phase-2 > Preferred Layout UI > Regression - Preferred Layout UI","regressionPhase-2\PreferredLayout.spec.js","",""
"","18560","ONEVIEW-852: Verify drawer remains open after adding a card @smoke","smoke","Mon May 18 11:42:55 IST 2026","passed","Mon May 18 11:43:14 IST 2026","Phase-2 > Add Cards > Smoke - Add Cards","smokePhase-2\AddCards.spec.js","",""
"","20790","ONEVIEW-788: Verify visual distinction between Add and Remove states @regression","chromium","Mon May 18 11:52:26 IST 2026","passed","Mon May 18 11:52:46 IST 2026","Phase-2 > Remove Cards > Remove Cards - Regression @regression","regressionPhase-2\RemoveCards.spec.js","",""
"","15931","ONEVIEW-808: Verify Restore Layout dropdown is visible in Edit Mode @smoke","smoke","Mon May 18 11:43:14 IST 2026","passed","Mon May 18 11:43:30 IST 2026","Phase-2 > Preferred Layout UI > Smoke - Preferred Layout UI","smokePhase-2\PreferredLayout.spec.js","",""
"","17115","ONEVIEW-811: Verify saved Preferred Layout persists after re-login @smoke","smoke","Mon May 18 11:44:10 IST 2026","skipped","Mon May 18 11:44:27 IST 2026","Phase-2 > Preferred Layout UI > Smoke - Preferred Layout UI","smokePhase-2\PreferredLayout.spec.js","",""
"","19235","ONEVIEW-822: Verify Restore Default Layout confirmation popup content @regression","chromium","Mon May 18 11:50:18 IST 2026","passed","Mon May 18 11:50:38 IST 2026","Phase-2 > Preferred Layout UI > Regression - Preferred Layout UI","regressionPhase-2\PreferredLayout.spec.js","",""
"","13458","ONEVIEW-712: Verify card grab cursor is visually displayed in Edit Mode @regression","chromium","Mon May 18 11:47:11 IST 2026","passed","Mon May 18 11:47:25 IST 2026","Phase-2 > Edit Layout > Edit Layout - Regression @regression","regressionPhase-2\EditLayout.spec.js","",""
"","32969","login and save session","auth-setup","Mon May 18 11:41:10 IST 2026","passed","Mon May 18 11:41:43 IST 2026","Microsoft Login Setup — Save session","auth\auth.setup.spec.js","",""
"","18062","ONEVIEW-830: Verify Preferred Layout persists across login sessions @regression","chromium","Mon May 18 11:51:13 IST 2026","passed","Mon May 18 11:51:31 IST 2026","Phase-2 > Preferred Layout UI > Regression - Preferred Layout UI","regressionPhase-2\PreferredLayout.spec.js","",""
