"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","23410","ONEVIEW-814: Verify Save button becomes enabled after layout modification @regression","chromium","Fri May 01 14:46:54 IST 2026","passed","Fri May 01 14:47:17 IST 2026","Phase-2 > Preferred Layout UI > Regression - Preferred Layout UI","regressionPhase-2\PreferredLayout.spec.js","",""
"","17626","ONEVIEW-774: Verify Remove button state styling after Add @regression","chromium","Fri May 01 14:40:31 IST 2026","passed","Fri May 01 14:40:49 IST 2026","Phase-2 > Add Cards > Add Cards - Regression @regression","regressionPhase-2\AddCards.spec.js","",""
"","13882","ONEVIEW-726: Verify typography and color consistency in Edit Mode @regression","chromium","Fri May 01 14:45:17 IST 2026","passed","Fri May 01 14:45:31 IST 2026","Phase-2 > Edit Layout > Edit Layout - Regression @regression","regressionPhase-2\EditLayout.spec.js","",""
"","15542","ONEVIEW-778: Verify card icons and visual identity in the panel @regression","chromium","Fri May 01 14:40:49 IST 2026","passed","Fri May 01 14:41:04 IST 2026","Phase-2 > Add Cards > Add Cards - Regression @regression","regressionPhase-2\AddCards.spec.js","",""
"","16352","ONEVIEW-714: Verify column dividers visibility in multi-column layouts @regression","chromium","Fri May 01 14:44:27 IST 2026","passed","Fri May 01 14:44:43 IST 2026","Phase-2 > Edit Layout > Edit Layout - Regression @regression","regressionPhase-2\EditLayout.spec.js","",""
"","1184","ONEVIEW-840: Verify card can be reordered within the same column via drag-and-drop @regression","chromium","Fri May 01 14:41:45 IST 2026","skipped","Fri May 01 14:41:46 IST 2026","Phase-2 > Drag & Drop > Drag & Drop - Regression @regression","regressionPhase-2\DragAndDrop.spec.js","",""
"","28318","ONEVIEW-828: Verify Revert to Preferred Layout discards unsaved changes @regression","chromium","Fri May 01 14:48:22 IST 2026","passed","Fri May 01 14:48:50 IST 2026","Phase-2 > Preferred Layout UI > Regression - Preferred Layout UI","regressionPhase-2\PreferredLayout.spec.js","",""
"","19581","ONEVIEW-813: Verify Save button is disabled when no changes are made @regression","chromium","Fri May 01 14:46:54 IST 2026","passed","Fri May 01 14:47:13 IST 2026","Phase-2 > Preferred Layout UI > Regression - Preferred Layout UI","regressionPhase-2\PreferredLayout.spec.js","",""
"","17452","ONEVIEW-715: Verify layout option selection visual indicator @regression","chromium","Fri May 01 14:44:40 IST 2026","passed","Fri May 01 14:44:57 IST 2026","Phase-2 > Edit Layout > Edit Layout - Regression @regression","regressionPhase-2\EditLayout.spec.js","",""
"","17131","ONEVIEW-718: Verify Restore Layout dropdown UI styling @regression","chromium","Fri May 01 14:44:43 IST 2026","passed","Fri May 01 14:45:00 IST 2026","Phase-2 > Edit Layout > Edit Layout - Regression @regression","regressionPhase-2\EditLayout.spec.js","",""
"","43963","ONEVIEW-821: Verify Restore Layout dropdown shows only Preferred Layout when Default Layout is active @regression","chromium","Fri May 01 14:47:37 IST 2026","failed","Fri May 01 14:48:21 IST 2026","Phase-2 > Preferred Layout UI > Regression - Preferred Layout UI","regressionPhase-2\PreferredLayout.spec.js","",""
"","13533","ONEVIEW-856: Verify 30/70 two-column layout selection and column structure @regression","chromium","Fri May 01 14:46:28 IST 2026","passed","Fri May 01 14:46:41 IST 2026","Phase-2 > Edit Layout > Edit Layout - Regression @regression","regressionPhase-2\EditLayout.spec.js","",""
"","21235","ONEVIEW-788: Verify visual distinction between Add and Remove states @regression","chromium","Fri May 01 14:49:51 IST 2026","passed","Fri May 01 14:50:12 IST 2026","Phase-2 > Remove Cards > Remove Cards - Regression @regression","regressionPhase-2\RemoveCards.spec.js","",""
"","18362","ONEVIEW-782: Verify Add Cards panel typography and color consistency @regression","chromium","Fri May 01 14:41:05 IST 2026","passed","Fri May 01 14:41:23 IST 2026","Phase-2 > Add Cards > Add Cards - Regression @regression","regressionPhase-2\AddCards.spec.js","",""
"","27216","ONEVIEW-837: Verify confirmation prompts are closable via close (×) icon for all modals @regression","chromium","Fri May 01 14:49:14 IST 2026","passed","Fri May 01 14:49:42 IST 2026","Phase-2 > Preferred Layout UI > Regression - Preferred Layout UI","regressionPhase-2\PreferredLayout.spec.js","",""
"","21042","ONEVIEW-827: Verify Cancel on Restore Preferred confirmation retains current layout @regression","chromium","Fri May 01 14:48:09 IST 2026","passed","Fri May 01 14:48:30 IST 2026","Phase-2 > Preferred Layout UI > Regression - Preferred Layout UI","regressionPhase-2\PreferredLayout.spec.js","",""
"","16569","ONEVIEW-724: Verify empty column visual state in Edit Mode @regression","chromium","Fri May 01 14:45:13 IST 2026","passed","Fri May 01 14:45:30 IST 2026","Phase-2 > Edit Layout > Edit Layout - Regression @regression","regressionPhase-2\EditLayout.spec.js","",""
